Player,Team,Pos,Cockcroft Rank
Doug Martin,OAK,RB,171
Broncos D/ST,DEN,DST,172
Calvin Ridley,ATL,WR,173
Jake Elliott,PHI,K,174
LeGarrette Blount,DET,RB,175
John Brown,BAL,WR,176
Matt Prater,DET,K,177
Benjamin Watson,NO,TE,178
Samaje Perine,WSH,RB,179
Saints D/ST,NO,DST,180
Harrison Butker,KC,K,181
John Ross,CIN,WR,182
Panthers D/ST,CAR,DST,183
Kenneth Dixon,BAL,RB,184
Adam Vinatieri,IND,K,185
Vance McDonald,PIT,TE,186
Seahawks D/ST,SEA,DST,187
Graham Gano,CAR,K,188
Danny Amendola,MIA,WR,189
Austin Hooper,ATL,TE,190
DOnta Foreman,HOU,RB,191
Dez Bryant,FA,WR,192
Frank Gore,MIA,RB,193
Ryan Grant,IND,WR,194
Eric Ebron,IND,TE,195
Donte Moncrief,JAX,WR,196
Titans D/ST,TEN,DST,197
Ryan Succop,TEN,K,198
Austin Ekeler,LAC,RB,199
James Washington,PIT,WR,200
