Player,Team,Pos,FPbest,FPworst
Bo Scarbrough,DAL,RB,211,413
Bruce Ellington,HOU,WR,256,363
Keith Smith,OAK,RB,287,324
Benny Cunningham,CHI,RB,235,342
Amara Darboh,SEA,WR,269,357
Terrance West,FA,RB,265,396
JMon Moore,GB,WR,267,382
Malcolm Brown,LAR,RB,287,348
Breshad Perriman,BAL,WR,229,393
Thomas Rawls,NYJ,RB,244,411
ArDarius Stewart,NYJ,WR,253,380
Michael Roberts,DET,TE,280,347
Shane Vereen,NO,RB,263,377
Cameron Artis-Payne,CAR,RB,239,398
Boston Scott,NO,RB,302,333
Ito Smith,ATL,RB,253,388
Chris Herndon IV,NYJ,TE,279,365
Nick OLeary,BUF,TE,284,393
J.D. McKissic,SEA,RB,285,353
Demarcus Robinson,KC,WR,246,378
Jermaine Gresham,ARI,TE,265,379
Demetrius Harris,KC,TE,290,389
Oakland,OAK,DST,308,360
Wendell Smallwood,PHI,RB,280,386
Roger Lewis,NYG,WR,307,367
Jordan Leggett,NYJ,TE,288,390
Seth DeValve,CLE,TE,320,358
Jeff Heuerman,DEN,TE,285,385
Josh Reynolds,LAR,WR,278,381
Carlos Henderson,DEN,WR,276,408
Jacoby Brissett,IND,QB,300,416
TJ Jones,DET,WR,335,379
Deonte Thompson,DAL,WR,325,383
Niles Paul,JAC,TE,317,392
Braxton Miller,HOU,WR,300,410
Lance Kendricks,GB,TE,352,358
Andre Holmes,BUF,WR,348,367
Miami,MIA,DST,332,378
Chris Moore,BAL,WR,359,377
Justin Hardy,ATL,WR,364,374
Aldrick Robinson,SF,WR,376,395
Indianapolis,IND,DST,365,404
