Pos,Player,Team,ANDY BEHRENS8/28,SCOTT PIANOWSKI8/28,DALTON DEL DON8/25,LIZ LOZA8/24,MATT HARMON7/22
WR,Breshad Perriman,NYJ,64,49,41,55,52
WR,Justin Jefferson,MIN,39,54,68,47,55
WR,Jerry Jeudy,DEN,44,55,67,52,47
WR,Preston Williams,MIA,61,58,43,56,58
WR,Henry Ruggs III,LV,40,53,70,59,68
WR,DeSean Jackson,PHI,45,67,38,68,73
WR,Brandon Aiyuk,SF,56,61,45,71,67
WR,Robby Anderson,CAR,63,48,75,61,54
WR,Parris Campbell,IND,54,62,56,62,77
WR,N'Keal Harry,NE,65,60,74,50,66
WR,Sammy Watkins,KC,59,71,63,63,60
WR,Allen Lazard,GB,57,59,76,53,72
WR,Michael Pittman Jr.,IND,70,69,71,54,56
WR,James Washington,PIT,73,64,69,73,49
WR,Hunter Renfrow,LV,77,51,66,64,75
WR,Laviska Shenault Jr.,JAC,58,79,64,72,61
WR,Larry Fitzgerald,ARI,68,63,82,65,74
WR,Alshon Jeffery,PHI,74,65,88,67,64
WR,Mohamed Sanu,NE,71,82,78,69,59
WR,Dede Westbrook,JAC,67,68,89,66,71
WR,Randall Cobb,HOU,72,66,73,74,79
WR,John Ross,CIN,78,89,61,84,63
WR,Kenny Stills,HOU,79,70,80,82,65
WR,Tyrell Williams,LV,62,72,,70,70
WR,Tee Higgins,CIN,69,78,86,75,78
WR,Corey Davis,TEN,76,85,79,77,69
WR,Cole Beasley,BUF,66,76,90,79,76
WR,Bryan Edwards,LV,75,98,58,60,
WR,Miles Boykin,BAL,88,83,65,81,83
WR,Kendrick Bourne,SF,81,74,59,83,108
WR,Auden Tate,CIN,103,73,60,88,87
WR,Denzel Mims,NYJ,87,91,,76,62
WR,Russell Gage,ATL,83,75,81,78,105
WR,Steven Sims,WAS,82,81,57,,101
WR,Danny Amendola,DET,80,87,91,87,84
WR,Tre'Quan Smith,NO,94,88,84,85,82
WR,Andy Isabella,ARI,100,77,,80,80
WR,Chase Claypool,PIT,92,94,72,89,116
WR,Chris Conley,JAC,,80,83,,81
WR,Trent Taylor,SF,84,,62,,
WR,J.J. Arcega-Whiteside,PHI,96,84,,90,90
WR,Nelson Agholor,LV,99,92,,91,86
WR,Marquez Valdes-Scantling,GB,104,95,77,,93
WR,Josh Reynolds,LAR,93,86,,86,104
WR,DaeSean Hamilton,DEN,89,90,,,88
WR,Zach Pascal,IND,,93,,,89
WR,Willie Snead,BAL,86,,,,98
WR,Van Jefferson,LAR,97,,87,,115
WR,Demarcus Robinson,KC,95,,,,92
WR,KJ Hamler,DEN,98,,92,,114
WR,Taylor Gabriel,FA,,,,,85
WR,Scott Miller,TB,,,85,,
WR,Dante Pettis,SF,85,,,,110
WR,Isaiah Ford,MIA,90,,,,
WR,Jakobi Meyers,NE,,96,,,100
WR,David Moore,SEA,,,,,91
WR,Olabisi Johnson,MIN,91,,,,
WR,Antonio Brown,FA,,,,,94
WR,Adam Humphries,TEN,,,,,95
WR,Josh Gordon,FA,,,,,96
WR,Phillip Dorsett,SEA,105,,,,97
WR,Antonio Gandy-Golden,WAS,,97,,,
WR,Keke Coutee,HOU,,,,,99
WR,Justin Watson,TB,101,,,,109
WR,Keelan Cole,JAC,,,,,102
WR,Ted Ginn,CHI,102,,,,107
WR,Demaryius Thomas,FA,,,,,103
WR,Greg Ward,PHI,,,,,106
WR,Paul Richardson Jr.,FA,,,,,111
WR,Zay Jones,LV,,,,,112
WR,KeeSean Johnson,ARI,,,,,113
TE,George Kittle,SF,2,2,1,1,1
TE,Travis Kelce,KC,1,1,2,2,2
TE,Mark Andrews,BAL,3,3,3,3,4
TE,Zach Ertz,PHI,4,4,4,4,3
TE,Tyler Higbee,LAR,5,6,5,5,8
TE,Jared Cook,NO,10,7,7,7,10
TE,Darren Waller,LV,11,5,17,10,5
TE,Hunter Henry,LAC,12,8,16,6,6
TE,Hayden Hurst,ATL,6,16,6,8,15
TE,Evan Engram,NYG,8,11,15,11,7
TE,Mike Gesicki,MIA,19,9,8,9,9
TE,Rob Gronkowski,TB,7,13,20,12,11
TE,Austin Hooper,CLE,13,10,19,14,14
TE,Blake Jarwin,DAL,9,17,10,15,20
TE,Jonnu Smith,TEN,22,14,12,13,12
TE,Noah Fant,DEN,17,15,14,17,13
TE,T.J. Hockenson,DET,16,20,9,16,19
TE,Chris Herndon IV,NYJ,15,12,11,18,24
TE,Dallas Goedert,PHI,14,18,13,19,17
TE,Jack Doyle,IND,18,19,22,20,23
TE,Eric Ebron,PIT,20,25,18,21,22
TE,Greg Olsen,SEA,25,23,23,22,18
TE,Ian Thomas,CAR,21,22,21,23,26
TE,O.J. Howard,TB,28,28,28,25,16
TE,Jace Sternberger,GB,24,21,36,24,21
TE,Irv Smith Jr.,MIN,35,24,24,28,30
TE,Dawson Knox,BUF,31,26,30,30,25
TE,Kyle Rudolph,MIN,23,27,35,27,32
TE,Gerald Everett,LAR,30,29,27,31,27
TE,C.J. Uzomah,CIN,32,30,25,26,
TE,Will Dissly,SEA,26,32,34,33,31
TE,Jimmy Graham,CHI,29,36,,29,28
TE,Tyler Eifert,JAC,33,35,26,32,43
TE,David Njoku,CLE,36,31,,34,29
TE,Vance McDonald,PIT,39,34,,35,33
TE,Trey Burton,IND,37,38,31,,36
TE,Logan Thomas,WAS,27,,33,,
TE,Jordan Akins,HOU,,39,29,,38
TE,Cameron Brate,TB,,33,,,34
TE,Dan Arnold,ARI,38,,32,,
TE,Jason Witten,LV,34,,,,40
TE,Darren Fells,HOU,,37,,,39
TE,Jacob Hollister,SEA,,,,,35
TE,Delanie Walker,FA,,,,,37
TE,Cole Kmet,CHI,40,,,,42
TE,Ryan Griffin,NYJ,41,,,,
TE,Nick Boyle,BAL,42,,,,
DST,San Francisco 49ers,SF,1,1,1,1,1
DST,Baltimore Ravens,BAL,6,2,3,2,2
DST,Pittsburgh Steelers,PIT,4,3,2,3,3
DST,Buffalo Bills,BUF,3,4,11,4,4
DST,Chicago Bears,CHI,2,5,12,5,7
DST,New Orleans Saints,NO,7,6,5,6,10
DST,Minnesota Vikings,MIN,10,7,9,7,8
DST,New England Patriots,NE,9,13,4,9,11
DST,Kansas City Chiefs,KC,5,8,19,8,6
DST,Denver Broncos,DEN,11,14,6,12,13
DST,Los Angeles Rams,LAR,12,11,,10,5
DST,Los Angeles Chargers,LAC,8,19,10,11,12
DST,Philadelphia Eagles,PHI,16,10,14,14,9
DST,Tennessee Titans,TEN,18,9,18,16,17
DST,Dallas Cowboys,DAL,,12,8,18,19
DST,Seattle Seahawks,SEA,14,20,15,15,16
DST,New York Jets,NYJ,13,21,,13,14
DST,Indianapolis Colts,IND,,15,7,,20
DST,Cleveland Browns,CLE,15,18,17,19,18
DST,Green Bay Packers,GB,19,17,,17,15
DST,Tampa Bay Buccaneers,TB,,16,13,,21
DST,Houston Texans,HOU,17,,,20,23
DST,Cincinnati Bengals,CIN,,,16,,
DST,Washington Football Team,WAS,20,,,,22
DST,Detroit Lions,DET,,,20,,27
DST,Jacksonville Jaguars,JAC,,,,,24
DST,Atlanta Falcons,ATL,,,,,25
DST,Carolina Panthers,CAR,,,,,26
DST,Las Vegas Raiders,LV,,,,,28
K,Justin Tucker,BAL,3,1,1,1,1
K,Harrison Butker,KC,1,2,2,2,2
K,Greg Zuerlein,DAL,2,4,3,4,4
K,Wil Lutz,NO,4,3,4,3,3
K,Matt Prater,DET,6,5,6,6,5
K,Robbie Gould,SF,7,6,5,5,6
K,Zane Gonzalez,ARI,5,9,8,9,9
K,Michael Badgley,LAC,8,11,19,8,7
K,Matt Gay,TB,12,10,20,7,8
K,Jake Elliott,PHI,18,7,10,11,12
K,Ka'imi Fairbairn,HOU,9,18,14,10,10
K,Mason Crosby,GB,11,13,16,12,11
K,Dan Bailey,MIN,17,12,7,15,14
K,Brandon McManus,DEN,21,8,13,14,13
K,Jason Myers,SEA,13,15,9,16,16
K,Younghoe Koo,ATL,10,16,15,19,22
K,Chris Boswell,PIT,23,14,11,17,19
K,Joey Slye,CAR,15,19,18,13,20
K,Stephen Hauschka,FA,16,17,,18,21
K,Austin Seibert,CLE,14,20,,,24
K,Josh Lambo,JAC,22,21,,,17
K,Randy Bullock,CIN,,,12,,31
K,Justin Rohrwasser,NE,,,,,15
K,Nick Folk,NE,,,17,,
K,Stephen Gostkowski,FA,,,,,18
K,Brett Maher,NYJ,19,,,,23
K,Daniel Carlson,LV,20,,,,27
K,Eddy Pineiro,CHI,,,,20,32
K,Aldrick Rosas,FA,,,,,25
K,Kai Forbath,FA,,,,,26
K,Adam Vinatieri,FA,,,,,28
K,Dustin Hopkins,WAS,,,,,29
K,Chase McLaughlin,IND,,,,,30
K,Greg Joseph,TEN,,,,,33
